ID,Provider,DNS #,IP4 Address,Description
1,Cloudflare,DNS-1,1.1.1.1,Cloudflare Primary DNS
2,Cloudflare,DNS-2,1.0.0.1,Cloudflare Secondary DNS
3,Google,DNS-1,8.8.8.8,Google Primary DNS
4,Google,DNS-2,8.8.4.4,Google Secondary DNS
5,Quad9,DNS-1,9.9.9.9,Quad9 Primary DNS
6,Quad9,DNS-2,149.112.112.112,Quad9 Secondary DNS
7,NextDNS,DNS-1,45.90.28.232,NextDNS Primary DNS
8,NextDNS,DNS-2,45.90.30.232,NextDNS Secondary DNS
9,OpenDNS,DNS-1,208.67.222.222,OpenDNS Primary DNS
10,OpenDNS,DNS-2,208.67.220.220,OpenDNS Secondary DNS
11,AdGuardDNS,DNS-1,94.140.14.14,AdGuardDNS Primary DNS
12,AdGuardDNS,DNS-2,94.140.15.15,AdguardDNS Secondary DNS
