"DNS Tested","Target Website","Query Times (ms)","Date Tested","Frequency Tested","Avg Query Time"
"Cloudflare Primary DNS","www.facebook.com","57.4, 47.03, 47.32, 47.08, 45.94, 48.43, 47.2, 48.6, 47.72, 48.09","2026-06-23","10","48.48"
"Cloudflare Primary DNS","www.google.com","46.04, 47.65, 47.3, 46.23, 47.19, 48.94, 47.59, 50.58, 46.44, 46","2026-06-23","10","47.4"
"Cloudflare Primary DNS","www.amazon.com","50.02, 47.7, 46.87, 48.05, 50.02, 50.49, 45.89, 46.65, 47.74, 47.81","2026-06-23","10","48.12"
"Cloudflare Primary DNS","www.nos.nl","54.48, 106.08, 55.79, 54.56, 49.58, 56.37, 55.33, 50.8, 51.15, 53.94","2026-06-23","10","58.81"
"Cloudflare Primary DNS","www.bbc.co.uk","48.92, 48.49, 49.26, 48.88, 46.75, 51.52, 47.2, 49.48, 51.26, 46.65","2026-06-23","10","48.84"
"Cloudflare Primary DNS","www.github.com","45.82, 45.19, 45.78, 47.28, 45.46, 47.07, 45.72, 46.96, 46.6, 48.93","2026-06-23","10","46.48"
"Cloudflare Primary DNS","www.netflix.com","46.25, 48.2, 46.89, 47.78, 47.51, 48.26, 47.95, 48.83, 46.65, 47.77","2026-06-23","10","47.61"
"Cloudflare Primary DNS","www.hbomax.com","45.91, 47.22, 48.42, 51.02, 47.19, 47.14, 47.36, 48.46, 48.18, 48.75","2026-06-23","10","47.97"
"Cloudflare Secondary DNS","www.facebook.com","48.16, 46.31, 46.99, 47.33, 48.71, 46.6, 47.99, 47.64, 47.81, 47.96","2026-06-23","10","47.55"
"Cloudflare Secondary DNS","www.google.com","45.16, 46.77, 47.94, 42.35, 48.43, 49.17, 47.69, 47.17, 46.69, 48.08","2026-06-23","10","46.95"
"Cloudflare Secondary DNS","www.amazon.com","60.54, 46.12, 46.38, 46.15, 46.66, 47.06, 49.49, 44.21, 47.22, 48.45","2026-06-23","10","48.23"
"Cloudflare Secondary DNS","www.nos.nl","47.37, 49.05, 59.08, 49.84, 46.17, 48.33, 53.55, 57.72, 47.86, 48.56","2026-06-23","10","50.75"
"Cloudflare Secondary DNS","www.bbc.co.uk","48.18, 47.24, 48.13, 49.74, 44.61, 49.1, 49.35, 47.9, 47.22, 51.03","2026-06-23","10","48.25"
"Cloudflare Secondary DNS","www.github.com","47.56, 46.93, 46.57, 45.23, 49.39, 46.09, 45.25, 45.32, 50.33, 46.89","2026-06-23","10","46.96"
"Cloudflare Secondary DNS","www.netflix.com","47.57, 47.05, 47.38, 47.54, 45.22, 47.03, 47.59, 46.74, 46.58, 45.52","2026-06-23","10","46.82"
"Cloudflare Secondary DNS","www.hbomax.com","49.21, 47.8, 51.12, 49.53, 48.49, 50.19, 55.86, 58.13, 61.45, 47.05","2026-06-23","10","51.89"
"Google Primary DNS","www.facebook.com","140.35, 143.82, 146.85, 137.86, 137.57, 136.7, 246.36, 138.55, 138.32, 137.35","2026-06-23","10","150.37"
"Google Primary DNS","www.google.com","139.13, 139.58, 138.69, 142.08, 141.83, 144.57, 137.93, 140.97, 138.79, 135.36","2026-06-23","10","139.89"
"Google Primary DNS","www.amazon.com","142.51, 145.77, 137.08, 149.55, 134.45, 147.13, 191.98, 138.81, 139.82, 139.42","2026-06-23","10","146.65"
"Google Primary DNS","www.nos.nl","149.32, 182.75, 146.56, 140.26, 145, 148.96, 140.16, 148.43, 145.56, 138.03","2026-06-23","10","148.5"
"Google Primary DNS","www.bbc.co.uk","144.07, 143.83, 140.75, 142.65, 137.31, 144, 141.77, 138.07, 142.46, 143.46","2026-06-23","10","141.84"
"Google Primary DNS","www.github.com","196.99, 142.16, 143.91, 139.6, 136.16, 143.12, 137.79, 136.11, 137.47, 136.93","2026-06-23","10","145.02"
"Google Primary DNS","www.netflix.com","135.88, 137.05, 136.99, 137.41, 140.02, 135.32, 136.23, 138.48, 136.51, 140.89","2026-06-23","10","137.48"
"Google Primary DNS","www.hbomax.com","144.46, 142.21, 138.54, 140.96, 141.75, 140.09, 135.71, 142.57, 138.68, 137.06","2026-06-23","10","140.2"
"Google Secondary DNS","www.facebook.com","139.26, 137.62, 137.66, 137.63, 138.42, 136.06, 137.04, 137.53, 136.2, 138.15","2026-06-23","10","137.56"
"Google Secondary DNS","www.google.com","139.63, 141.49, 140.04, 136.86, 138.08, 140.56, 138.33, 140.42, 138.14, 138.66","2026-06-23","10","139.22"
