DNS Tested,Target Website,Query Times (ms),Date Tested,Frequency Tested,Avg Query Time
Cloudflare Primary DNS,www.facebook.com,"41.28, 40.9, 44.87, 42.43, 43.77, 41.79, 44.0, 41.94, 39.75, 42.09",2026-09-06,10,42.28
Cloudflare Primary DNS,www.google.com,"40.06, 40.22, 39.99, 45.17, 42.99, 40.39, 43.62, 41.67, 39.46, 46.09",2026-09-06,10,41.97
Cloudflare Primary DNS,www.amazon.com,"38.87, 39.59, 42.72, 41.37, 44.8, 39.69, 39.67, 41.01, 39.92, 42.92",2026-09-06,10,41.06
Cloudflare Primary DNS,www.nos.nl,"47.29, 57.9, 48.87, 51.95, 43.36, 48.71, 40.66, 48.37, 62.0, 54.72",2026-09-06,10,50.38
Cloudflare Primary DNS,www.bbc.co.uk,"43.22, 42.47, 41.04, 47.24, 42.58, 41.86, 42.77, 41.66, 41.15, 45.27",2026-09-06,10,42.92
Cloudflare Primary DNS,www.github.com,"41.73, 42.87, 43.55, 46.61, 48.24, 41.0, 41.62, 44.79, 40.51, 45.09",2026-09-06,10,43.6
Cloudflare Primary DNS,www.netflix.com,"41.04, 40.53, 42.15, 45.85, 41.57, 44.88, 41.86, 45.1, 41.27, 45.97",2026-09-06,10,43.02
Cloudflare Primary DNS,www.hbomax.com,"41.56, 45.51, 43.5, 41.62, 42.42, 42.42, 47.75, 40.68, 40.89, 40.93",2026-09-06,10,42.73
Cloudflare Primary DNS,protonvpn.com,"40.0, 40.94, 44.41, 41.35, 43.83, 40.0, 43.19, 40.46, 45.96, 47.27",2026-09-06,10,42.74
Cloudflare Primary DNS,www.ajax.nl,"51.52, 49.29, 48.47, 51.01, 51.03, 44.39, 44.79, 44.01, 43.44, 50.26",2026-09-06,10,47.82
Cloudflare Secondary DNS,www.facebook.com,"39.48, 42.28, 47.36, 38.97, 40.52, 40.84, 41.8, 41.26, 43.0, 40.33",2026-09-06,10,41.58
Cloudflare Secondary DNS,www.google.com,"43.93, 44.07, 45.49, 43.05, 43.46, 41.0, 47.13, 41.67, 40.49, 40.51",2026-09-06,10,43.08
Cloudflare Secondary DNS,www.amazon.com,"40.19, 39.29, 42.02, 42.66, 46.44, 40.07, 39.73, 41.18, 40.12, 39.36",2026-09-06,10,41.11
Cloudflare Secondary DNS,www.nos.nl,"51.89, 49.96, 39.06, 42.2, 42.19, 47.84, 51.74, 40.92, 52.61, 56.33",2026-09-06,10,47.47
Cloudflare Secondary DNS,www.bbc.co.uk,"46.42, 46.01, 43.41, 47.09, 44.43, 48.34, 39.54, 47.32, 46.7, 41.02",2026-09-06,10,45.03
Cloudflare Secondary DNS,www.github.com,"42.45, 42.58, 42.14, 41.45, 45.12, 41.68, 44.94, 40.52, 41.23, 48.04",2026-09-06,10,43.01
Cloudflare Secondary DNS,www.netflix.com,"39.37, 43.92, 43.55, 43.54, 39.94, 43.11, 40.1, 47.14, 41.56, 39.74",2026-09-06,10,42.2
Cloudflare Secondary DNS,www.hbomax.com,"46.13, 40.71, 42.03, 40.13, 42.36, 42.22, 41.17, 46.16, 43.47, 44.3",2026-09-06,10,42.87
Cloudflare Secondary DNS,protonvpn.com,"51.46, 40.26, 41.42, 41.79, 43.94, 42.68, 40.58, 41.35, 43.38, 48.33",2026-09-06,10,43.52
Cloudflare Secondary DNS,www.ajax.nl,"50.91, 50.26, 44.96, 48.31, 49.34, 41.65, 42.44, 46.29, 45.3, 42.15",2026-09-06,10,46.16
Google Primary DNS,www.facebook.com,"129.47, 134.75, 134.06, 130.17, 138.54, 131.82, 129.16, 133.99, 136.46, 132.09",2026-09-06,10,133.05
Google Primary DNS,www.google.com,"129.77, 130.42, 131.0, 131.01, 131.11, 129.66, 129.78, 131.12, 133.35, 132.53",2026-09-06,10,130.97
Google Primary DNS,www.amazon.com,"144.19, 138.57, 131.18, 139.26, 132.47, 132.17, 130.63, 138.58, 136.91, 133.16",2026-09-06,10,135.71
Google Primary DNS,www.nos.nl,"145.7, 147.39, 143.51, 130.34, 143.75, 133.1, 145.92, 143.26, 138.99, 133.36",2026-09-06,10,140.53
Google Primary DNS,www.bbc.co.uk,"135.27, 136.31, 138.58, 142.42, 131.18, 134.9, 132.18, 133.01, 137.06, 135.37",2026-09-06,10,135.63
Google Primary DNS,www.github.com,"138.42, 130.79, 133.19, 140.52, 134.27, 132.91, 131.89, 140.86, 131.0, 133.38",2026-09-06,10,134.72
Google Primary DNS,www.netflix.com,"132.56, 130.23, 132.89, 130.59, 129.95, 134.89, 130.43, 130.48, 131.65, 130.25",2026-09-06,10,131.39
Google Primary DNS,www.hbomax.com,"137.1, 135.77, 132.92, 142.14, 176.45, 132.81, 131.84, 136.74, 131.97, 137.07",2026-09-06,10,139.48
Google Primary DNS,protonvpn.com,"134.91, 136.72, 136.93, 133.2, 132.24, 132.12, 138.03, 135.76, 131.69, 134.24",2026-09-06,10,134.58
Google Primary DNS,www.ajax.nl,"151.09, 138.68, 143.03, 135.94, 135.71, 136.93, 135.64, 136.2, 140.83, 132.37",2026-09-06,10,138.64
Google Secondary DNS,www.facebook.com,"131.5, 134.89, 130.22, 133.87, 137.42, 130.89, 130.49, 138.56, 129.66, 133.02",2026-09-06,10,133.05
Google Secondary DNS,www.google.com,"131.6, 130.47, 131.54, 132.88, 135.51, 130.9, 130.81, 133.46, 133.89, 130.23",2026-09-06,10,132.13
Google Secondary DNS,www.amazon.com,"209.82, 135.27, 178.45, 130.6, 131.66, 138.61, 130.41, 161.21, 136.81, 135.45",2026-09-06,10,148.83
Google Secondary DNS,www.nos.nl,"132.83, 132.0, 130.92, 132.75, 134.9, 141.57, 131.39, 130.99, 152.31, 130.98",2026-09-06,10,135.06
Google Secondary DNS,www.bbc.co.uk,"136.61, 141.98, 138.63, 132.54, 138.28, 133.68, 134.21, 131.25, 149.35, 133.88",2026-09-06,10,137.04
Google Secondary DNS,www.github.com,"136.27, 142.71, 133.43, 132.2, 131.18, 130.39, 130.39, 137.03, 143.52, 139.97",2026-09-06,10,135.71
Google Secondary DNS,www.netflix.com,"129.07, 132.82, 130.94, 131.35, 132.72, 130.21, 134.37, 130.95, 133.21, 129.51",2026-09-06,10,131.52
Google Secondary DNS,www.hbomax.com,"133.33, 134.28, 134.23, 135.1, 131.91, 140.51, 131.5, 138.65, 134.04, 133.92",2026-09-06,10,134.75
Google Secondary DNS,protonvpn.com,"135.4, 136.92, 135.56, 137.05, 131.25, 130.19, 135.89, 132.31, 130.75, 131.78",2026-09-06,10,133.71
Google Secondary DNS,www.ajax.nl,"136.51, 151.24, 142.49, 141.69, 136.0, 149.81, 131.27, 138.2, 139.67, 136.92",2026-09-06,10,140.38
Quad9 Primary DNS,www.facebook.com,"123.13, 119.74, 120.68, 120.99, 121.12, 126.24, 122.94, 122.1, 120.56, 121.98",2026-09-06,10,121.95
Quad9 Primary DNS,www.google.com,"122.89, 119.91, 122.72, 121.34, 124.02, 120.84, 123.8, 126.23, 122.98, 119.54",2026-09-06,10,122.43
Quad9 Primary DNS,www.amazon.com,"123.11, 121.04, 119.79, 121.35, 122.3, 127.19, 120.46, 121.09, 120.65, 124.24",2026-09-06,10,122.12
Quad9 Primary DNS,www.nos.nl,"127.77, 123.1, 124.46, 119.63, 119.89, 121.26, 121.7, 119.85, 125.55, 119.45",2026-09-06,10,122.27
Quad9 Primary DNS,www.bbc.co.uk,"121.26, 125.14, 121.19, 123.66, 126.17, 119.61, 120.02, 124.16, 120.45, 125.57",2026-09-06,10,122.72
Quad9 Primary DNS,www.github.com,"120.74, 122.63, 119.66, 119.97, 120.03, 121.85, 121.19, 120.6, 119.39, 120.53",2026-09-06,10,120.66
Quad9 Primary DNS,www.netflix.com,"120.58, 125.13, 119.75, 120.79, 120.23, 124.37, 124.65, 120.73, 120.03, 121.24",2026-09-06,10,121.75
Quad9 Primary DNS,www.hbomax.com,"124.54, 123.95, 125.67, 122.63, 124.06, 119.87, 120.45, 124.15, 125.63, 119.88",2026-09-06,10,123.08
Quad9 Primary DNS,protonvpn.com,"121.26, 118.67, 119.58, 120.29, 120.92, 120.8, 119.33, 119.81, 119.88, 121.76",2026-09-06,10,120.23
Quad9 Primary DNS,www.ajax.nl,"138.72, 125.45, 121.54, 122.21, 120.74, 125.01, 121.35, 126.88, 126.83, 128.12",2026-09-06,10,125.68
Quad9 Secondary DNS,www.facebook.com,"123.55, 124.45, 121.99, 122.33, 122.98, 121.95, 121.37, 120.17, 124.36, 119.61",2026-09-06,10,122.27
Quad9 Secondary DNS,www.google.com,"119.56, 119.9, 120.85, 120.96, 122.65, 119.93, 120.81, 119.63, 118.81, 123.99",2026-09-06,10,120.71
Quad9 Secondary DNS,www.amazon.com,"121.62, 120.55, 121.42, 121.0, 121.97, 123.01, 119.7, 121.14, 123.09, 119.27",2026-09-06,10,121.28
Quad9 Secondary DNS,www.nos.nl,"119.69, 268.74, 125.51, 123.95, 124.62, 120.1, 136.11, 122.49, 120.44, 120.01",2026-09-06,10,138.17
Quad9 Secondary DNS,www.bbc.co.uk,"125.82, 121.56, 122.53, 664.9, 120.89, 125.15, 123.16, 122.81, 120.29, 119.8",2026-09-06,10,176.69
Quad9 Secondary DNS,www.github.com,"124.91, 119.68, 120.67, 124.9, 124.56, 122.94, 119.69, 123.68, 119.08, 126.16",2026-09-06,10,122.63
Quad9 Secondary DNS,www.netflix.com,"120.57, 121.44, 124.3, 123.08, 120.86, 126.37, 119.96, 124.84, 121.07, 123.23",2026-09-06,10,122.57
Quad9 Secondary DNS,www.hbomax.com,"125.18, 122.0, 120.68, 120.92, 123.82, 121.38, 123.52, 126.55, 123.93, 124.88",2026-09-06,10,123.29
Quad9 Secondary DNS,protonvpn.com,"124.45, 121.72, 119.83, 119.9, 122.94, 121.28, 128.52, 120.02, 121.5, 118.82",2026-09-06,10,121.9
Quad9 Secondary DNS,www.ajax.nl,"142.43, 124.33, 154.73, 121.4, 125.17, 124.97, 120.61, 121.43, 119.82, 119.37",2026-09-06,10,127.43
NextDNS Primary DNS,www.facebook.com,"46.97, 39.81, 42.52, 40.74, 41.58, 43.09, 46.37, 41.18, 47.26, 42.94",2026-09-06,10,43.25
NextDNS Primary DNS,www.google.com,"45.55, 44.86, 40.94, 41.03, 40.63, 41.42, 45.57, 40.13, 42.0, 42.04",2026-09-06,10,42.42
NextDNS Primary DNS,www.amazon.com,"111.7, 45.11, 39.37, 43.97, 43.39, 40.43, 44.78, 40.77, 44.51, 40.41",2026-09-06,10,49.44
NextDNS Primary DNS,www.nos.nl,"79.59, 40.75, 41.27, 39.92, 40.24, 43.59, 41.15, 40.59, 38.89, 44.32",2026-09-06,10,45.03
NextDNS Primary DNS,www.bbc.co.uk,"847.07, 46.84, 43.95, 40.05, 39.94, 44.12, 43.55, 40.33, 39.98, 43.85",2026-09-06,10,122.97
NextDNS Primary DNS,www.github.com,"40.21, 39.02, 39.73, 41.47, 46.93, 45.77, 39.65, 41.4, 41.39, 42.19",2026-09-06,10,41.78
NextDNS Primary DNS,www.netflix.com,"40.01, 44.13, 45.17, 41.67, 42.63, 39.53, 41.28, 43.18, 42.34, 41.48",2026-09-06,10,42.14
NextDNS Primary DNS,www.hbomax.com,"74.6, 41.22, 44.71, 42.48, 39.7, 44.42, 41.81, 43.04, 39.7, 41.07",2026-09-06,10,45.27
NextDNS Primary DNS,protonvpn.com,"41.26, 44.31, 40.23, 40.85, 39.65, 43.25, 40.96, 40.44, 39.32, 42.64",2026-09-06,10,41.29
