DNS Tested,Target Website,Query Times (ms),Date Tested,Frequency Tested,Avg Query Time
Cloudflare Primary DNS,www.facebook.com,"40.51, 51.11, 42.86, 50.91, 49.61, 47.46, 44.41, 46.04, 52.18, 42.84",2026-09-06,10,46.79
Cloudflare Primary DNS,www.google.com,"54.28, 48.55, 42.08, 52.46, 66.93, 49.39, 45.4, 51.39, 58.39, 45.29",2026-09-06,10,51.42
Cloudflare Primary DNS,www.amazon.com,"49.82, 44.42, 50.84, 47.22, 51.23, 54.2, 51.18, 51.26, 42.99, 52.07",2026-09-06,10,49.52
Cloudflare Primary DNS,www.nos.nl,"106.18, 68.61, 53.15, 52.92, 71.32, 55.63, 43.44, 44.09, 47.42, 91.97",2026-09-06,10,63.47
Cloudflare Primary DNS,www.bbc.co.uk,"43.02, 46.13, 46.47, 46.3, 44.5, 49.15, 45.58, 53.74, 46.38, 44.79",2026-09-06,10,46.6
Cloudflare Primary DNS,www.github.com,"52.1, 46.94, 44.14, 48.98, 51.07, 101.65, 42.67, 49.66, 50.13, 43.25",2026-09-06,10,53.06
Cloudflare Primary DNS,www.netflix.com,"52.17, 48.88, 46.41, 53.81, 52.93, 52.51, 64.57, 44.76, 48.05, 66.3",2026-09-06,10,53.04
Cloudflare Primary DNS,www.hbomax.com,"45.56, 38.73, 36.08, 47.66, 47.3, 53.6, 48.62, 50.1, 50.07, 47.47",2026-09-06,10,46.52
Cloudflare Secondary DNS,www.facebook.com,"50.04, 46.77, 46.62, 47.66, 50.45, 46.27, 47.04, 45.67, 49.31, 48.85",2026-09-06,10,47.87
Cloudflare Secondary DNS,www.google.com,"47.26, 46.5, 48.47, 47.91, 48.89, 40.49, 44.57, 43.38, 47.33, 48.92",2026-09-06,10,46.37
Cloudflare Secondary DNS,www.amazon.com,"51.79, 51.52, 49.47, 52.09, 48.16, 46.47, 51.97, 48.81, 48.91, 53.56",2026-09-06,10,50.28
Cloudflare Secondary DNS,www.nos.nl,"87.12, 59.79, 109.8, 38.08, 49.23, 47.88, 61.81, 62.85, 49.24, 36.93",2026-09-06,10,60.27
Cloudflare Secondary DNS,www.bbc.co.uk,"44.52, 50.04, 48.02, 51.91, 44.91, 52.38, 46.2, 47.82, 48.52, 57.38",2026-09-06,10,49.17
Cloudflare Secondary DNS,www.github.com,"45.96, 50.99, 46.81, 49.91, 49.3, 55.26, 56.54, 39.88, 44.63, 45.2",2026-09-06,10,48.45
Cloudflare Secondary DNS,www.netflix.com,"41.85, 52.02, 58.75, 51.0, 48.4, 51.86, 48.21, 45.24, 54.6, 50.41",2026-09-06,10,50.23
Cloudflare Secondary DNS,www.hbomax.com,"57.82, 48.6, 48.74, 49.5, 49.26, 54.98, 51.18, 48.82, 53.06, 49.69",2026-09-06,10,51.16
Google Primary DNS,www.facebook.com,"140.63, 137.53, 149.03, 141.15, 141.2, 138.93, 138.59, 134.91, 149.48, 138.91",2026-09-06,10,141.04
Google Primary DNS,www.google.com,"141.32, 149.48, 141.99, 129.47, 140.24, 148.58, 141.09, 145.85, 138.78, 147.84",2026-09-06,10,142.47
Google Primary DNS,www.amazon.com,"148.66, 133.8, 149.92, 142.47, 154.24, 147.75, 146.45, 140.76, 156.93, 141.0",2026-09-06,10,146.2
Google Primary DNS,www.nos.nl,"149.77, 144.57, 151.11, 159.45, 147.12, 142.37, 144.37, 143.35, 136.53, 142.03",2026-09-06,10,146.07
Google Primary DNS,www.bbc.co.uk,"138.79, 145.17, 375.62, 149.05, 158.76, 149.9, 139.7, 141.58, 141.91, 144.3",2026-09-06,10,168.48
Google Primary DNS,www.github.com,"140.94, 200.95, 141.12, 147.54, 143.23, 142.06, 138.65, 144.85, 135.45, 136.42",2026-09-06,10,147.12
Google Primary DNS,www.netflix.com,"144.74, 141.65, 132.67, 138.87, 136.62, 141.32, 138.97, 149.29, 126.65, 137.03",2026-09-06,10,138.78
Google Primary DNS,www.hbomax.com,"151.36, 144.65, 146.55, 139.82, 128.37, 142.15, 146.21, 142.59, 145.16, 140.51",2026-09-06,10,142.74
Google Secondary DNS,www.facebook.com,"145.32, 125.07, 137.22, 133.8, 142.39, 130.26, 137.8, 136.7, 148.24, 157.21",2026-09-06,10,139.4
Google Secondary DNS,www.google.com,"146.32, 138.5, 143.16, 139.36, 136.67, 143.19, 146.22, 140.95, 145.09, 139.79",2026-09-06,10,141.93
Google Secondary DNS,www.amazon.com,"148.29, 141.71, 140.04, 148.78, 145.89, 144.0, 226.75, 138.98, 144.23, 166.04",2026-09-06,10,154.47
Google Secondary DNS,www.nos.nl,"138.46, 162.39, 157.8, 150.62, 135.24, 134.74, 137.5, 148.26, 143.61, 146.24",2026-09-06,10,145.49
Google Secondary DNS,www.bbc.co.uk,"138.1, 145.27, 136.43, 136.48, 143.18, 147.58, 151.53, 133.11, 141.2, 144.07",2026-09-06,10,141.69
Google Secondary DNS,www.github.com,"147.86, 139.24, 152.27, 135.81, 146.33, 146.74, 153.73, 141.16, 128.07, 133.89",2026-09-06,10,142.51
Google Secondary DNS,www.netflix.com,"143.59, 145.27, 142.44, 130.72, 141.36, 145.56, 141.27, 135.02, 139.93, 143.1",2026-09-06,10,140.82
Google Secondary DNS,www.hbomax.com,"137.67, 138.32, 143.08, 152.97, 151.05, 143.99, 140.04, 150.02, 137.02, 147.08",2026-09-06,10,144.12
Quad9 Primary DNS,www.facebook.com,"122.9, 124.44, 121.39, 133.85, 146.88, 122.53, 122.07, 124.47, 126.87, 124.16",2026-09-06,10,126.96
Quad9 Primary DNS,www.google.com,"133.99, 137.18, 125.7, 133.69, 124.07, 129.99, 123.85, 119.54, 121.17, 129.61",2026-09-06,10,127.88
Quad9 Primary DNS,www.amazon.com,"133.02, 122.66, 129.81, 128.0, 129.09, 119.41, 122.13, 122.5, 136.4, 143.49",2026-09-06,10,128.65
Quad9 Primary DNS,www.nos.nl,"130.82, 138.56, 131.88, 135.1, 127.87, 128.96, 125.31, 137.18, 143.23, 122.35",2026-09-06,10,132.13
Quad9 Primary DNS,www.bbc.co.uk,"1000.05, 124.92, 123.31, 126.4, 132.08, 124.29, 130.72, 126.18, 126.66, 130.28",2026-09-06,10,214.49
Quad9 Primary DNS,www.github.com,"124.77, 130.68, 122.86, 134.58, 124.09, 124.36, 117.93, 128.87, 129.24, 127.08",2026-09-06,10,126.45
Quad9 Primary DNS,www.netflix.com,"130.16, 121.54, 136.98, 123.13, 130.68, 125.69, 124.73, 132.63, 125.75, 131.42",2026-09-06,10,128.27
Quad9 Primary DNS,www.hbomax.com,"122.12, 129.16, 132.93, 122.69, 126.64, 131.27, 129.94, 127.58, 127.82, 126.86",2026-09-06,10,127.7
Quad9 Secondary DNS,www.facebook.com,"126.49, 127.31, 116.41, 123.84, 123.8, 130.53, 123.39, 142.91, 139.76, 124.44",2026-09-06,10,127.89
Quad9 Secondary DNS,www.google.com,"131.07, 123.0, 129.44, 127.53, 146.53, 122.61, 136.32, 121.21, 133.56, 128.48",2026-09-06,10,129.97
Quad9 Secondary DNS,www.amazon.com,"125.75, 125.24, 127.14, 129.58, 125.27, 131.65, 128.41, 126.44, 127.22, 118.77",2026-09-06,10,126.55
Quad9 Secondary DNS,www.nos.nl,"127.74, 121.95, 130.83, 121.38, 137.04, 123.53, 132.68, 124.2, 124.34, 135.31",2026-09-06,10,127.9
Quad9 Secondary DNS,www.bbc.co.uk,"127.76, 128.99, 121.16, 131.69, 126.79, 132.79, 125.71, 124.34, 139.85, 136.81",2026-09-06,10,129.59
Quad9 Secondary DNS,www.github.com,"137.54, 119.95, 121.69, 127.73, 129.08, 146.73, 123.37, 133.84, 123.59, 132.38",2026-09-06,10,129.59
Quad9 Secondary DNS,www.netflix.com,"126.1, 121.49, 133.57, 124.96, 130.0, 126.83, 128.29, 128.09, 123.74, 135.1",2026-09-06,10,127.82
Quad9 Secondary DNS,www.hbomax.com,"122.03, 134.24, 124.84, 128.43, 127.1, 124.53, 135.93, 125.48, 129.45, 124.67",2026-09-06,10,127.67
NextDNS Primary DNS,www.facebook.com,"45.17, 47.0, 49.91, 52.57, 52.84, 46.56, 44.63, 50.04, 52.32, 48.57",2026-09-06,10,48.96
NextDNS Primary DNS,www.google.com,"45.09, 43.76, 47.99, 48.39, 64.42, 47.27, 49.36, 46.83, 52.11, 54.01",2026-09-06,10,49.92
NextDNS Primary DNS,www.amazon.com,"48.66, 47.2, 63.39, 36.5, 48.82, 49.96, 46.7, 51.03, 46.74, 53.11",2026-09-06,10,49.21
NextDNS Primary DNS,www.nos.nl,"55.27, 51.32, 50.19, 41.71, 51.96, 46.86, 50.08, 46.05, 50.37, 45.47",2026-09-06,10,48.93
