ID,DNS-IP4-Address,QUIC-Capable,HTTPS-Capable,Date-Last-Tested
1,1.1.1.1,NA,Yes,2026-09-07 10:43:01
2,1.0.0.1,NA,Yes,2026-09-07 10:43:01
3,8.8.8.8,NA,Yes,2026-09-07 10:43:01
4,8.8.4.4,NA,Yes,2026-09-07 10:43:01
5,9.9.9.9,Yes,Yes,2026-09-07 10:43:01
6,149.112.112.112,Yes,Yes,2026-09-07 10:43:01
7,45.90.28.232,No,Yes,2026-09-07 10:43:01
8,45.90.30.232,No,Yes,2026-09-07 10:43:01
9,208.67.222.222,NA,Yes,2026-09-07 10:43:01
10,208.67.220.220,NA,Yes,2026-09-07 10:43:01
11,94.140.14.14,Yes,Yes,2026-09-07 10:43:01
12,94.140.15.15,Yes,Yes,2026-09-07 10:43:01
